exp,sample_full,sample_reduced,contract,area_change_t10,area_change_t20,rel_max_contraction,best_mol,best_time_yarn,marker,color
pattern3003,Rose-9,R9,1_7,0.2958976275693232,0.0214309334181689,-0.10038827615190016,3,10,o,EE0077
pattern3003,Rose-9,R9,1_2_3_4,0.2044099557435079,0.0235123247039546,-0.037165908063014556,7,10,o,EE0077
pattern3003,Rose-9,R9,1_3_5_7,0.3820744327197861,0.0226468470288921,-0.0882244896687784,12,10,o,EE0077
pattern3003,Rose-9,R9,1_3_6_8,0.1103566866023577,0.0143668971955617,-0.05135177320721363,34,10,o,EE0077
pattern3003,Rose-9,R9,1_2_5_6,0.1685152491015178,0.0283486151567005,-0.06890001105123886,20,10,o,EE0077
pattern3003,Rose-9,R9,1_2_7_8,0.1986165331571853,0.0179837965716131,-0.04597356240107792,7,10,o,EE0077
pattern3003,Rose-9,R9,1_2_3_4_5_6_7_8,0.0219751174998521,0.0034037290710633,-0.0032125687486670553,13,10,o,EE0077
pattern3024,Rose-4,R4,1,0.3775296701761213,0.3023420208920981,-0.17623181632298396,1,10,o,EECDE2
pattern3024,Rose-4,R4,1_4,0.5154173425846029,0.3422894534477934,-0.15760628435603605,18,10,o,EECDE2
pattern3024,Rose-4,R4,1_2_3_4,0.4861297335710788,0.3640118434320856,-0.1259584088074869,13,10,o,EECDE2
pattern3024,Rose-4,R4,1_3_6_8,0.4600800721236329,0.2972589940788557,-0.1325942542811574,29,10,o,EECDE2
pattern3024,Rose-4,R4,1_2_7_8,0.5230661872757214,0.3040142185540436,-0.1446403311710666,38,10,o,EECDE2
pattern3024,Rose-4,R4,1_4_6_7,0.5357533439138616,0.2811436460235744,-0.1454655281439714,33,10,o,EECDE2
pattern3024,Rose-4,R4,1_2_3_4_5_6_7_8,0.4619660636692282,0.2908649772846307,-0.08449147874593387,3,10,o,EECDE2
pattern3052,Rose-13,R13,1_2,0.2865707346328404,0.2410162986959227,-0.12535564761527657,9,10,o,CC3300
pattern3052,Rose-13,R13,2_4,0.330328474960474,0.2397250106583112,-0.18618808639334242,9,10,o,CC3300
pattern3052,Rose-13,R13,1_2_3_4,0.3192495232139461,0.2511025219324205,-0.11285988788809143,9,10,o,CC3300
pattern3052,Rose-13,R13,1_2_3_4_5_6_7_8,0.2890616928331707,0.2592570274850368,-0.09733156478776833,9,10,o,CC3300
pattern2048,Hexa-1,H1,1,0.2157405391860046,0.2137363003929098,-0.16187133044252555,8,10,h,66FF66
pattern2048,Hexa-1,H1,5,0.1522289992546251,0.1554953716423811,-0.0014625976644949367,49,10,h,66FF66
pattern2048,Hexa-1,H1,5_6,0.1700672218824234,0.1660195694201628,-0.0013593123142937283,49,10,h,66FF66
pattern2048,Hexa-1,H1,1_2_3_4,0.2633547421456932,0.2013034749175027,-0.10280868832384074,31,10,h,66FF66
pattern2048,Hexa-1,H1,1_2_3_4_5_6,0.2294875830031671,0.2098109513041813,-0.07132092260901512,37,10,h,66FF66
pattern7000,Diamond-6,D6,1_3_5_7,0.3923464315259233,0.2366843034302613,-0.20514056323801666,4,10,D,000099
pattern1084,Square-2,S2,1_2,0.1520847243355736,0.0150428530741883,-0.02121546723056733,19,10,s,FFCC00
pattern1084,Square-2,S2,1_2_3_4,0.0269870935194353,0.0127279002832737,-0.005999646707852402,19,10,s,FFCC00
pattern7002,Diamond-4,D4,2_4_5_7,0.3049917559093799,0.1204413071479166,-0.18387741478986042,59,10,D,0099FF
pattern3059,Spruce-1,Sp1,1,0.2012504940475497,0.0302951960654104,-0.14120405188854748,4,10,^,009900
pattern3059,Spruce-1,Sp1,8,0.2540014197367661,0.0730689522097623,-0.1433349116623641,38,10,^,009900
pattern3059,Spruce-1,Sp1,6_8,0.3513369825166257,0.0655326509720388,-0.10892666632144293,38,10,^,009900
pattern3059,Spruce-1,Sp1,1_2,0.2675948233910616,0.0264010908101392,-0.12163283426332783,3,10,^,009900
pattern3059,Spruce-1,Sp1,1_2_3_4,0.2706565457090534,0.0344005370713099,-0.11727951286648618,18,10,^,009900
pattern3059,Spruce-1,Sp1,5_6_7_8,0.1359119809280816,0.0286096670576114,-0.03192085911074591,24,10,^,009900
pattern3059,Spruce-1,Sp1,1_2_3_4_5_6_7_8,0.169701312090109,0.0299031271529784,-0.07144111840626725,18,10,^,009900
pattern7001,Diamond-5,D5,2_4_5_7,0.3647342324620637,0.1616993331121916,-0.2002668057386062,5,10,D,0000FF
pattern2023,Diamond-7,D7,1,0.2210169925757431,0.0112752342901427,-0.12373864463180498,2,10,D,CCFFFF
pattern2023,Diamond-7,D7,1_2,0.209104557829767,0.0093625108897785,-0.07691997443928453,3,10,D,CCFFFF
pattern2023,Diamond-7,D7,1_2_3,0.0238373219161224,0.0101522709918938,-0.03288748227231106,18,10,D,CCFFFF
pattern2023,Diamond-7,D7,1_2_3_4_5,0.0169780530208601,0.011627559079586,-0.014257149325957981,19,10,D,CCFFFF
pattern2001,Diamond-1,D1,1,0.0103304007471489,0.0047165907037169,-0.012335261427124017,8,10,D,66FFFF
pattern2001,Diamond-1,D1,1_2_3_4,0.0069632862609418,0.0076804702809846,-0.0010616743591956926,22,10,D,66FFFF
pattern3013,Rose-6,R6,1_2,0.5040921660832718,0.1912946231238989,-0.17005224765843405,8,10,o,CC00CC
